문제번호,과목,문제,보기1,보기2,보기3,보기4,정답,해설,문제이미지,문제이미지너비,보기1이미지,보기1이미지너비,보기2이미지,보기2이미지너비,보기3이미지,보기3이미지너비,보기4이미지,보기4이미지너비,해설이미지,해설이미지너비
1,장비구조,기관의 실린더 수가 많을 때의 장점이 아닌 것은?,기관의 진동이 적다.,저속회전이 용이하고 큰 동력을 얻을 수 있다.,연료소비가 적고 큰 동력을 얻을 수 있다.,가속이 원활하고 신속하다.,3,"실린더 수가 많을 때의 특징
? 회전력의 변동이 적어 기관 진동과 소음이 적다.
? 회전의 응답성이 양호하다.
? 저속회전이 용이하고 출력이 높다.
? 가속이 원활하고 신속하다.
? 흡입공기의 분배가 어렵고 연료소모가 많다.
? 구조가 복잡하여 제작비가 비싸다.   ",,,,,,,,,,,,
2,장비구조,기관의 연료장치에서 희박한 혼합비가 미치는 영향으로 옳은 것은?,시동이 쉬워진다.,저속 및 공전이 원활하다.,연소속도가 빠르다.,출력(동력)의 감소를 가져온다.,4,"혼합비가 희박하면 기관 시동이 어렵고, 저속운전이 불량해지며, 연소속도가 느려 기관의 출력이 저하한다. ",,,,,,,,,,,,
3,장비구조,커먼레일 디젤기관의 흡기온도센서(ATS)에 대한 설명으로 틀린 것은?,주로 냉각팬 제어신호로 사용된다.,연료량 제어 보정신호로 사용된다.,분사시기 제어 보정신호로 사용된다.,부특성 서미스터이다.,1,"흡기온도 센서는 부특성 서미스터를 이용하며, 분사시기와 연료량 제어 보정신호로 사용된다. ",,,,,,,,,,,,
4,장비구조,수냉식 기관이 과열되는 원인으로 틀린 것은?,방열기의 코어가 20%이상 막혔을 때,규정보다 높은 온도에서 수온조절기가 열릴 때,수온조절기가 열린 채로 고정되었을 때,규정보다 적게 냉각수를 넣었을 때,3,,,,,,,,,,,,,
5,장비구조,윤활유의 구비조건으로 틀린 것은?,청정성이 있을 것,적당한 점도를 가질 것,인화점 및 발화점이 높을 것,응고점이 높고 유막이 적당할 것,4,,,,,,,,,,,,,
6,장비구조,배기터빈 과급기에서 터빈 축 베어링의 윤활방법으로 옳은 것은?,기관오일을 급유,오일리스 베어링 사용,그리스로 윤활,기어오일을 급유,1,,,,,,,,,,,,,
7,장비구조,에어컨 시스템에서 기화된 냉매를 액화하는 장치는?,응축기,건조기,컴프레서,팽창밸브,1,응축기는 고온 ? 고압의 기체냉매를 냉각에 의해 액체냉매 상태로 변화시킨다.,,,,,,,,,,,,
8,장비구조,도체 내의 전류의 흐름을 방해하는 성질은?,전하,전류,전압,저항,4,저항은 전자의 이동을 방해하는 요소이다.,,,,,,,,,,,,
9,장비구조,MF(Maintenance Free) 축전지에 대한 설명으로 적합하지 않는 것은?,격자의 재질은 납과 칼슘합금이다.,무보수용 배터리다.,밀봉 촉매마개를 사용한다.,증류수는 매 15일마다 보충한다.,4,MF 축전지는 증류수를 점검 및 보충하지 않아도 된다.,,,,,,,,,,,,
10,장비구조,충전장치의 역할로 틀린 것은?,램프류에 전력을 공급한다.,에어컨 장치에 전력을 공급한다.,축전지에 전력을 공급한다.,기동장치에 전력을 공급한다.,4,기동장치에 전력을 공급하는 것 : 축전지,,,,,,,,,,,,
11,장비구조,유압 실린더의 숨 돌리기 현상이 생겼을 때 일어나는 현상이 아닌 것은?,작동지연 현상이 생긴다.,서지압이 발생한다.,오일의 공급이 과대해진다.,피스톤 작동이 불안정하게 된다.,3,오일의 공급이 부족해진다.,,,,,,,,,,,,
12,장비구조,유압회로에서 작동유의 정상작동 온도에 해당되는 것은?,5~10℃,40~80℃,112~115℃,125~140℃,2,,,,,,,,,,,,,
13,장비구조,건설기계의 유압장치 취급방법으로 적합하지 않은 것은?,유압장치는 워밍업 후 작업하는 것이 좋다.,"유압유는 1주에 한 번, 소량씩 보충한다.",작동유에 이물질이 포함되지 않도록 관리 ? 취급하여야 한다.,작동유가 부족하지 않은지 점검하여야 한다.,2,,,,,,,,,,,,,
14,장비구조,난연성 작동유의 종류에 해당하지 않는 것은?,석유계 작동유,유중수형 작동유,물-글리콜형 작동유,인산 에스텔형 작동유,1,"난연성 작동유의 종류
? 난연성 작동유에는 비함수계(내화성을 갖는 합성물)와 함수계가 있다. 
? 비함수계의 작동유는 인산에스테르와 폴리올 에스테르가 있다.
? 함수계 작동유에는 수중유적형(O/W), 유중수적형(W/O), 물-글리콜계 등이 있다. ",,,,,,,,,,,,
15,점검,건설기계 작업 중 유압회로 내의 유압이 상승되지 않을 때의 점검사항으로 적합하지 않은 것은?,오일탱크의 오일량 점검,오일이 누출되었는지 점검,펌프로부터 유압이 발생되는지 점검,자기탐상법에 의한 작업장치의 균열 점검,4,"갑자기 유압상승이 되지 않을 경우 점검 내용 
? 유압펌프로부터 유압이 발생되는지 점검
? 오일탱크의 오일량 점검
? 릴리프 밸브의 고장인지 점검
? 오일이 누출되었는지 점검   ",,,,,,,,,,,,
16,장비구조,유압장치에서 가장 많이 사용되는 유압 회로도는?,조합 회로도,그림 회로도,단면 회로도,기호 회로도,4,일반적으로 많이 사용하는 유압 회로도는 기호 회로도이다.,,,,,,,,,,,,
17,장비구조,플런저가 구동축의 직각방향으로 설치되어 있는 유압모터는? ,캠형 플런저 모터,액시얼형 플런저 모터,블래더형 플런저 모터,레이디얼형 플런저 모터,4,레이디얼형 플런저 모터는 플런저가 구동축의 직각방향으로 설치되어 있다.  ,,,,,,,,,,,,
18,구조 및 기능,유압실린더의 움직임이 느리거나 불규칙 할 때의 원인이 아닌 것은?,피스톤 링이 마모되었다.,유압유의 점도가 너무 높다.,회로 내에 공기가 혼입되고 있다.,체크밸브의 방향이 반대로 설치되어 있다.,4,,,,,,,,,,,,,
19,장비구조,유압 실린더의 종류에 해당하지 않는 것은?,복동 실린더 싱글로드형,복동 실린더 더블로드형,단동 실린더 배플형,단동 실린더 램형,3,"유압 실린더의 종류에는 단동실린더, 복동 실린더(싱글로드형과 더블로드형), 다단 실린더, 램형 실린더 등이 있다.",,,,,,,,,,,,
20,장비구조,일반적인 오일탱크의 구성품이 아닌 것은?,스트레이너,유압태핏,드레인 플러그,배플 플레이트,2,"오일탱크는 유압펌프로 흡입되는 유압유를 여과하는 스트레이너, 탱크 내의 오일량을 표시하는 유면계, 유압유의 출렁거림을 방지하고 기포발생 방지 및 제거하는 배플 플레이트(격판) 유압유를 배출시킬 때 사용하는 드레인 플러그 등으로 구성된다.",,,,,,,,,,,,
21,안전관리,해머사용 시 안전에 주의해야 될 사항으로 틀린 것은?,해머사용 전 주위를 살펴본다.,담금질한 것은 무리하게 두들기지 않는다.,해머를 사용하여 작업할 때에는 처음부터 강한 힘을 사용한다.,대형해머를 사용할 때는 자기의 힘에 적합한 것으로 한다.,3,,,,,,,,,,,,,
