문제번호,과목,문제,보기1,보기2,보기3,보기4,정답,해설,문제이미지,문제이미지너비,보기1이미지,보기1이미지너비,보기2이미지,보기2이미지너비,보기3이미지,보기3이미지너비,보기4이미지,보기4이미지너비,해설이미지,해설이미지너비
1,교통법규,용어의 정의에 해당되지 않는 것은? ,항공기란 항공기 등 항공교통에 사용되는 모든 운송수단을 말한다.,차량에는 수중의 항행에 사용되는 모든 운송수단도 포함된다.,500 cc 이상의 자동차도 차량에 포함된다.,차량이라 함은 도로를 운행할 수 있는 증기도 포함된다.,2,"차량: 「도로교통법」에 의한 차마 또는 노면전차, 「철도산업발전 기본법」에 의한 철도차량(도시철도 포함), 「궤도운송법」에 따른 궤도에 의하여 교통용으로 사용되는 모든 운송수단을 포함합니다.
선박: 「해사안전기본법」에 의한 선박 등 수상 또는 수중의 항행에 사용되는 모든 운송수단을 말합니다.",,,,,,,,,,,,
2,교통법규,교통안전법상 교통시설 설치자의 교통시설 안전진단 규정으로 옳지 않은 것은? ,"도로법에 따른 총길이 1km 이상의 시도,군도,구도를 건설시 교통시설 안전진단을 받아야 한다.","도로법에 따른 총길이 2km 이상의 특별시도,광역시도,지방도를 건설시 교통시설 안전진단을 받아야 한다.","도로법에 따른 총길이 5km 이상의 일반국도,고속국도를 건설시 교통시설 안전진단을 받아야 한다.",교통시설 설치자는 해당 교통시설의 설치 전에 교통안전 진단기관에 의뢰하여 교통시설 안전진단을 받아야 한다.,2,특별시도ㆍ광역시도ㆍ지방도(국가지원지방도 포함)는 총 길이 3km 이상일 경우 교통시설안전진단을 받아야 합니다.,,,,,,,,,,,,
3,교통법규,시도지사가 교통안전 진단기관에게 1년 이내의 기간을 정하여 영업의 정지를 명할 수 있는 경우는?,교통안전 진단기관의 등록기준에 미달하게 된 때,"교통안전 진단기관의 결격사유에 해당하게 된 때, 법인의 임원 중 결격사유에 해당하는 자가 있는 경우 6개월 이내에 해당 임원을 개임한 때에는 제외한다.",최근 2년간 2회의 영업정지처분을 받고 새로이 영업정지처분에 해당하는 사유가 발생한 때,거짓이나 그 밖의 부정한 방법으로 등록을 한 때,1,"교통안전법 제43조(등록의 취소 등)에 따르면, 시·도지사는 교통안전 진단기관이 등록기준에 미달하게 된 경우, 일정 기간을 정하여 그 기준에 맞게 인력·시설 등을 보완하도록 명할 수 있으며, 이 기간 내에 보완하지 않으면 등록을 취소할 수 있습니다. 즉, 등록기준 미달은 즉시 영업정지 사유가 아닙니다.",,,,,,,,,,,,
4,교통법규,다음 중 정부가 장차비용을 지원하는 첨단안전장치에 해당하는 것은,적응순환 제어장치,차로이탈 경고장치,자동 제동장치,지능형 최고속도 제한장치,2,"교통안전법 시행령 제4조에 따르면, 정부는 교통사고 예방을 위해 차로이탈경고장치의 장착 비용을 지원할 수 있습니다.",,,,,,,,,,,,
5,교통법규,"시설관리자 등의 교통안전 관리규정 준수여부의 확인, 평가는 교통안전 관리규정을 제출한 날을 기준으로 언제 이내에 실시되어야 하는가? ",제출한 날을 기준으로 매 3년이 지난 날의 전후 50일 이내,제출한 날을 기준으로 매 5년이 지난 날의 전후 100일 이내,제출한 날을 기준으로 매 7년이 지난 날의 전후 100일 이내,제출한 날을 기준으로 매 10년이 지난 날의 전후 150일 이내,2,시설관리자 등의 교통안전 관리규정 준수 여부의 확인 및 평가는 교통안전 관리규정을 제출한 날을 기준으로 매 5년이 지난 날의 전후 100일 이내에 실시되어야 합니다. 이 규정은 교통시설 또는 교통수단의 안전성 확보를 위해 시설관리자 등이 수립하는 교통안전 관리규정의 이행 상태를 주기적으로 점검하고 평가함으로써 교통안전을 지속적으로 관리하기 위한 것입니다.,,,,,,,,,,,,
6,교통법규,다음 중 교통안전법상 교통수단 안전점검의 항목에 해당하지 않는 것은? ,교통안전 관리규정의 준수 여부 점검,교통안전 관계 법령의 위반 여부 확인,교통수단의 교통안전 위험요인 조사,교통안전 확보를 위한 교통수단 운영자의 재정 건전성에 대한 확인,4,"「교통안전법 시행령」 제33조제4항에 따르면 교통수단 안전점검의 항목은 다음과 같습니다:
?교통수단의 교통안전 위험요인 조사
?교통안전 관계 법령의 위반 여부 확인
?교통안전관리규정의 준수 여부 점검
",,,,,,,,,,,,
7,교통법규,다음 중 교통안전법상 교통안전 담당자의 직무에 해당하지 않는 것은?,교통안전을 해치는 행위를 한 운전자등에 대한 징계,운행기록장치 및 차로이탈 경고장치 등의 점검 및 관리,교통시설의 조건 및 기상조건에 따른 안전 운행등에 필요한 조치,"교통안전 관리규정의 시행 및 그 기록의 작성, 보존",1,"?교통안전법 시행령 제44조의2(교통안전담당자의 직무)에 따르면, 교통안전담당자는 다음과 같은 직무를 수행합니다:?

교통안전 관리규정의 시행 및 그 기록의 작성·보존?
운행기록장치 및 차로이탈 경고장치 등의 점검 및 관리?
교통시설의 조건 및 기상조건에 따른 안전 운행 등에 필요한 조치?
교통사고 예방을 위한 안전대책 수립 및 시행",,,,,,,,,,,,
8,교통법규,다음 중 교통사고가 발생하였을 때 신고할 사항과 관계없는 것은?,사상자 수 및 부상정도,손괴한 물건 및 손괴정도,사고 차량 간의 과실 책임 여부,사고가 일어난 곳,3,사고 차량 간의 과실 책임 여부는 사고 당사자가 현장에서 즉시 신고해야 할 의무 사항에 포함되지 않습니다. 과실 책임은 사고 조사 과정에서 판단되는 사안입니다.,,,,,,,,,,,,
9,교통법규,교통안전교육의 내용 중 하나인 인간관계의 소통과 관련 다른 교통참가자를 동반자로서 받아 들여 그들과 의사소통을 하게 하거나 적절한 인간관계를 맺도록 하는 것을 의미하는 것은?,안전운전 태도,준법 정신,타자 적응성,자기 통제,3,"타자 적응성은 교통안전교육에서 강조하는 개념으로, 다른 교통참가자를 동반자로 받아들이고 그들과 원활하게 의사소통하며 적절한 인간관계를 맺는 능력을 의미한다. 이는 안전한 교통환경을 조성하는 데 필수적인 요소다.

안전운전 태도는 운전자가 안전을 최우선으로 고려하는 운전 습관이나 마음가짐을 의미한다. 준법 정신은 교통법규를 준수하려는 의식을 나타내며, 자기 통제는 운전 중 자신의 감정이나 행동을 조절하는 능력을 의미한다.",,,,,,,,,,,,
10,교통법규,교통수단 운영자로 20대의 차량을 소지한 운수업자가 준수해야 하는 기준에 해당하지 않는 것은? ,일반화물 자동차 운송사업의 위탁을 받은 자,자동차 대여사업의 등록을 한 자,여객 자동차 운수사업의 관리를 위탁 받은 자,여객 자동차 운수사업의 면허를 받거나 등록을 한 자,1," 교통안전담당자를 지정해야 하는 교통수단운영자의 범위에서 ""일반화물자동차 운송사업의 허가를 받은 자가 위ㆍ수탁으로 관리하는 자동차는 제외한다""",,,,,,,,,,,,
