문제번호,과목,문제,보기1,보기2,보기3,보기4,정답,해설,문제이미지,문제이미지너비,보기1이미지,보기1이미지너비,보기2이미지,보기2이미지너비,보기3이미지,보기3이미지너비,보기4이미지,보기4이미지너비,해설이미지,해설이미지너비
101,교통심리학,다음 중 ‘다수안전설’에 대한 설명으로 적절하지 못한 것은?,자전거 인구가 많을수록 자동차와 충돌할 가능성이 줄어든다.,자전거가 많을 수로 자동차 운전자들이 자전거를 이용할 확률이 높아진다.,운전자가 운전을 천천히 함으로써 보행자들이 운전자의 시선에 오래 머무르기 때문에 안전하다.,자전거가 많을수록 자동차 운전자들이 자전거를 더 의식하며 배려한다.,3,,,,,,,,,,,,,
102,교통심리학,사업용 자동차운영자의 운전 적성검사 관련하여 운영사업자의 업무로 옳지 않은 것은?,특별검사 대상자가 발생한 때에는 해당 대상자가 검사 및 교정교육을 받을 수 있도록 조치,"교육훈련 담당자로 하여금 운전자에 대한 교정교육계획을 수립, 실시하게 함",운전적성검사를 해고수단 등 직무이외의 용도에 사용,운전적성검사를 교육용 자료로 활용,3,,,,,,,,,,,,,
103,교통심리학,운전 스트레스와 운전자 스트레스에 대한 설명으로 다음 중 옳은 것은?,운전자 스트레스는 운전자에 대한 사회적 평가와 관련해서 나타난다.,운전자 스트레스는 객관적으로 파악되는 스트레스이다.,운전자 스트레스는 운전을 마친 후에 나타나는 상태나 결과를 포함한다.,운전 스트레스는 운전상태 하에서 주로 나타난다.,4,,,,,,,,,,,,,
104,교통심리학,브레이크를 밟아야 겠다고 생각한 시간에서 실제 정지할 때 까지의 거리를 무엇이라 하는가?,여유거리,공주거리,정지거리,제동거리,3,,,,,,,,,,,,,
105,교통심리학,다음 중 터널 운전의 위험에 관한 설명으로 옳지 못한 것은?,터널 안에서는 어둡고 시야가 좁은 데다 속도감각이 떨어져 긴급한 상황 대처에 불리하다.,터널 조명에 대한 장시간의 노출로 착시현상이 발생할 수 있다.,터널을 빨리 벗어나기 위해 과속을 하는 경향이 있다.,터널 진입시 운전자의 감각이 서서히 변화한다.,4,,,,,,,,,,,,,
106,교통심리학,야간 운전에 대한 설명으로 다음 중 옳지 못한 것은?,야간 운전자의 시력과 가시거리는 물리적으로 차량의 전조등 불빛에 제한될 수 밖에 없다.,야간에 과속하면 저하된 시력으로 인해 주변 상황을 원활하게 보기 어렵다.,상대방이 전조등을 켰을 때 일몰 전과 비교하여 동체시력에서의 차이는 없다.,일몰 전보다 운전자의 시야가 50% 감소한다.,3,,,,,,,,,,,,,
107,교통심리학,초보운전자의 운전 중 행동분석으로 다음 중 틀린 것은?,"차선변경, 무신호 교차로에서 심적 부담을 느낀다.",다양한 운전상황에서의 상황판단 훈련이 부족하다.,정방주시의 수평분포가 넓다.,초보운전자는 운전시작 후 첫해에 사고율이 가장 높게 나타난다.,3,,,,,,,,,,,,,
108,교통심리학,집근처 동네 등의 익숙한 도로에서 자동차 사고가 자주 발생하는 원인으로 가장 적합한 것은?,주거지나 생활 근거지의 경우 일반도로에 비해 보행자들의 노출빈도가 적기 때문이다.,주거지나 생활 근거지에서는 운전시 집중력이 떨어질 수 있기 때문이다.,익숙한 도로보다는 익숙하지 않은 도로에서 교통법규를 위반할 확률이 크기 때문이다.,집 근처 동네 등의 도로의 겨우 인도와 차도의 구분이 명확하게 되어 있기 때문이다.,2,,,,,,,,,,,,,
109,교통심리학,음주운전자의 운전특성에 대한 설명으로 다음 중 틀린 것은?,반사회성,공격성,충동성,순응성,4,,,,,,,,,,,,,
110,교통심리학,다음 중 도로에 표시된 지시 등을 보는 것만으로도 운전방식을 알 수 있는 도로에 해당하는 것은?,지시 도로,경계 도로,현황 도로,자체 설명도로,4,,,,,,,,,,,,,
111,교통심리학,다음 중 운전자의 방어운전기법에 대한 설명으로 잘못된 것은?,뒤차의 움직임을 룸미러나 사이드미러로 끊임없이 확인한다.,"주택가에서는 속도를 줄여 충돌을 피할 시간적, 공간적인 여유를 확보한다.",심리적으로 흥분된 상태에서는 운전을 자제한다.,앞차에 대한 시야를 멀리 두지 않는다.,4,,,,,,,,,,,,,
112,교통심리학,상대 운전자에게 자극을 받더라도 그 자극에 대해 집중하지 않으려고 대처하는 방법이 아닌 것은?,무의식적으로 반응하는 행동을 한다.,이기주의적인 마음을 없애야 한다.,자신의 인격을 쌓도록 한다.,좋은 습관을 지니도록 항상 노력한다.,1,,,,,,,,,,,,,
113,교통심리학,도로안내 문자표지에 관한 설명으로 잘못된 것은?,안내 표지문자의 획이 가늘수록 효과가 크다.,안전을 확보하기 위하여 통제한다.,원활한 소통과 안전을 보장해주는 기능을 한다.,필요한 정보를 사전에 전달하기도 한다.,1,,,,,,,,,,,,,
114,교통심리학,"파동을 일으키는 물체와 관측자가 가까워 질수록 커지고, 멀어질수록 작아지는 효과는?",도플러 효과,반응 효과,나비 효과,운전 효과,1,,,,,,,,,,,,,
115,교통심리학,사소하게 인지할 사항이라도 지속적으로 주의하지 않으면 인지하지 못한다는 것을 의미하는 것은?,인지반응,판단착오,무주의 맹시,무의식 추론,3,,,,,,,,,,,,,
116,교통심리학,교통심리학의 실제 조건으로 대상과 방법에 대하여 잘못된 것은?,실제장면에서는 그 조건의 통제가 비교적 용이하다.,교통심리학이 과학으로서 성립하기 위해서는 통제된 조건하에서 항상 같은 결과를 예측할 수 있다.,심리학은 눈으로 관찰 할 수 없기 때문에 행동을 통하여 알 수 밖에 없다.,교통심리학은 행동의 과학이다.,1,,,,,,,,,,,,,
117,교통심리학,인간 ? 기계 ? 환경 관계에 있어서의 인간이란 고정된 상식적인 시스템이 아니고 유기적으로 (      )되는 존재로서 파악하지 않으면 안 된다. (    )에 들어갈 말은?,수준저하,변용화,생성,응용,2,,,,,,,,,,,,,
118,교통심리학,다음 중 지각적 위험운전이 아닌 항목은?,신호작동 위반,피로운전,음주운전,사각(死角),1,,,,,,,,,,,,,
119,교통심리학,다음 중 인간욕구를 충족시키는 대상을 무엇이라 하는가?,행동,욕구,유인,동인,3,,,,,,,,,,,,,
120,교통심리학,(      ) 감정은 합리적 운전기능을 촉진하고 (       ) 감정은 억제하는 경향이 있다. (     )에 들어갈 말은?,성공 ? 확신,억제 ? 촉진,유쾌 ? 불쾌,행복 ? 질투,3,,,,,,,,,,,,,
121,교통심리학,"다음 중 운전자가 방향, 속도, 환경 등에 관한 정보를 가장 잘 얻을 수 있는 감각은?",촉각,후각,청각,시각,4,,,,,,,,,,,,,
122,교통심리학,경쟁의식이 높은 운전자가 주로 위반하는 교통위방 사례에 해당하는 것은?,안전거리 위반,신호위반,주차위반,속도위반,4,,,,,,,,,,,,,
123,교통심리학,주거지나 생활 근거지에서 교통사고가 발생하는 원인으로 적절하지 못한 것은?,주거지나 생활 근거지의 경우 일반도로에 비해 어린이의 노출빈도가 크기 때문,주거지의 경우 골목길이 많아 인도와 차도의 구분이 어렵기 때문,주거지나 생활 근거지에서는 운전시 집중력이 떨어 질 수 있기 때문,익숙한 도로보다는 익숙하지 않은 도로에서 교통법규를 위반할 확률이 크기 때문,4,,,,,,,,,,,,,
124,교통심리학,다음 중 운전피로에 대한 설명으로 바르지 못한 것은?,심리적 요인은 생리적인 요인보다 더 운전피로에 직접적인 영향을 미친다.,운전은 일반적으로 신체적인 피로 뿐만 아니라 심리적 피로까지 야기하는 작업이라고 볼 수 있다.,피로는 눈이나 발 등을 혹사했을 경우라도 그 증상은 전신에 나타나는 경향이 있다.,"운전피로는 운전 중 실제 발생하는 신체변화, 피로감, 객관적으로 측정되는 운전기능의 저하 등을 말한다.",1,,,,,,,,,,,,,
125,교통심리학,타인의 교통법규를 위반하는 경우에 이에 동조하여 교통법규를 위반하게 되는 심리적 배경이 아닌 것은?,자신의 판단에 대한 확신이 들지 않는 심리상태에 기인한다.,"집단과 같이 행동함으로써 인정을 받고, 불인정을 피하려는 동기에 기인한다.",익명성이 보장되지 않는 상황에서의 불안한 심리상태에 기인한다.,따돌림을 피하기 위한 심리상태에 기인한다.,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
